GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
recetas,cl.duoc.app.recetas.interceptor,JwtRequestInterceptor,0,36,0,4,0,10,0,4,0,2
recetas,cl.duoc.app.recetas.controller,RecetaController.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
recetas,cl.duoc.app.recetas.controller,RecetaController.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
recetas,cl.duoc.app.recetas.controller,RecetaController.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
recetas,cl.duoc.app.recetas.controller,RecetaController.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
recetas,cl.duoc.app.recetas.controller,RecetaController.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
recetas,cl.duoc.app.recetas.controller,RecetaController,73,844,18,32,16,187,15,23,0,13
recetas,cl.duoc.app.recetas,RecetasApplication,5,3,0,0,2,1,1,1,1,1
recetas,cl.duoc.app.recetas.util,JwtUtil,16,127,3,9,8,30,3,13,0,10
recetas,cl.duoc.app.recetas.config,UrlConfiguration,0,37,0,0,0,12,0,4,0,4
recetas,cl.duoc.app.recetas.config,JwtAuthenticationFilter,6,88,2,8,2,25,2,6,0,3
recetas,cl.duoc.app.recetas.config,RestTemplateConfig,0,27,0,0,0,8,0,2,0,2
recetas,cl.duoc.app.recetas.config,SecurityConfig,0,102,0,0,0,14,0,5,0,5
